0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/upload/1615723177859_xiaomi%20note%209.jpg HTTP/1.1" 200 42606
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/upload/1615723448084_lenovo%20z26s.jpg HTTP/1.1" 200 68388
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/upload/1615723508103_xiaomi%20mi%2010.jpg HTTP/1.1" 200 31411
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/upload/1615723295674_iphone%2011.jpg HTTP/1.1" 200 19270
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/upload/1615723127804_LenovoA5s.jpg HTTP/1.1" 200 29691
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:19 +0700] "GET /inventory-management/product-info/view/7 HTTP/1.1" 200 12562
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:19 +0700] "GET /inventory-management/product-info/view/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:29 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/product-info/view/7 HTTP/1.1" 200 12598
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/vendors/nprogress/nprogress.css HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/build/css/custom.min.css HTTP/1.1" 200 62701
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/vendors/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css HTTP/1.1" 200 42839
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.css HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.buttons.css HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/vendors/bootstrap-datetimepicker/build/css/bootstrap-datetimepicker.css HTTP/1.1" 200 9038
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.nonblock.css HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:53 +0700] "GET /inventory-management/resources/vendors/jquery/dist/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:54 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:54 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:54 +0700] "GET /inventory-management/resources/vendors/fastclick/lib/fastclick.js HTTP/1.1" 200 25965
